,name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price,date
37,"Blue Star 1 Ton Fixed Speed Portable AC (Copper, Anti Bacterial Silver Coating, Self Diagnosis, Comfort Sleep Modes-Auto/C...",appliances,Air Conditioners,https://m.media-amazon.com/images/I/51eMr0B-93L._AC_UL320_.jpg,https://www.amazon.in/Blue-Star-Portable-Copper-PC12DB/dp/B07W6NX7BJ/ref=sr_1_44?qid=1679134239&s=kitchen&sr=1-44,3.4,"1,866","₹32,990","₹39,000",2/7/2023
38,"Blue Star 1 Ton 3 Star Fixed Speed Window AC (Copper, Turbo Cool, Humidity Control, Fan Modes-Auto/High/Medium/Low, Hydrop...",appliances,Air Conditioners,https://m.media-amazon.com/images/I/715XgfIJDuL._AC_UL320_.jpg,https://www.amazon.in/Blue-Star-Hydrophilic-Self-Diagnosis-WFB312LN/dp/B0BDMT2MXS/ref=sr_1_45?qid=1679134239&s=kitchen&sr=1-45,4,292,"₹26,490","₹33,000",2/8/2023
39,"Panasonic 1.5 Ton 3 Star Wi-Fi Inverter Smart Split AC (Copper Condenser, 7 in 1 Convertible with additional AI Mode, PM ...",appliances,Air Conditioners,https://m.media-amazon.com/images/I/61PWjQFDtQL._AC_UL320_.jpg,https://www.amazon.in/Panasonic-Convertible-additional-Purification-CU-SU18YKYWT/dp/B0BRJ5QH8G/ref=sr_1_46?qid=1679134239&s=kitchen&sr=1-46,4.2,"1,830","₹37,990","₹55,400",2/9/2023
40,"Samsung 1 Ton 3 Star Wi-fi Enabled, Wind-Free Technology Inverter Split AC (Copper, Convertible 5-in-1 Cooling Mode, Anti-...",appliances,Air Conditioners,https://m.media-amazon.com/images/I/71IWBYDJbHL._AC_UL320_.jpg,https://www.amazon.in/Samsung-Technology-Convertible-Anti-bacterial-AR12CYLANWK/dp/B0BRQ8Q7CV/ref=sr_1_47?qid=1679134239&s=kitchen&sr=1-47,4.6,8,"₹34,699","₹53,990",2/10/2023
41,"Daikin 1.5 Ton 3 Star Fixed Speed Split AC (Copper, PM 2.5 Filter, 2022 Model, FTL50U, White)",appliances,Air Conditioners,https://m.media-amazon.com/images/I/410ih0eEMfL._AC_UL320_.jpg,https://www.amazon.in/Daikin-Fixed-Copper-Filter-FTL50U/dp/B09R4QLDWK/ref=sr_1_48?qid=1679134239&s=kitchen&sr=1-48,4.1,536,"₹37,800","₹55,600",2/11/2023
42,"Carrier 1.5 Ton 3 Star Fixed Speed Window AC( Copper,High Density Filter for Dust Filtration, 2Way Air Directional Contro...",appliances,Air Conditioners,https://m.media-amazon.com/images/I/717wB+IneGL._AC_UL320_.jpg,https://www.amazon.in/Carrier-Window-Copper-Directional-Control/dp/B0BDG3RTG5/ref=sr_1_49?qid=1679134239&s=kitchen&sr=1-49,4.3,201,"₹30,990","₹45,090",2/12/2023
43,"IFB 1.5 Ton 3 Star Heavy Duty Inverter Split AC (Copper, Convertible Flexi 8-in-1 Cooling, PM 0.3 Filter, 2022 Model, CI18...",appliances,Air Conditioners,https://m.media-amazon.com/images/I/41XbbkCXXzL._AC_UL320_.jpg,https://www.amazon.in/IFB-Inverter-Convertible-Cooling-CI1833E223G3/dp/B09RB6H1J2/ref=sr_1_50?qid=1679134239&s=kitchen&sr=1-50,3.3,3,"₹44,477","₹47,790",2/13/2023
44,"Blue Star 0.8 Ton 3 Star Inverter Split Ac (Copper, Turbo Cool, Gold Fins, Comfort Sleep, Self Clean Technology, Multi Sen...",appliances,Air Conditioners,https://m.media-amazon.com/images/I/51k0NvUmYLL._AC_UL320_.jpg,https://www.amazon.in/Blue-Star-Inverter-Copper-IC309RBTU/dp/B08L6QX5WC/ref=sr_1_51?qid=1679134239&s=kitchen&sr=1-51,4.2,"2,722","₹28,990","₹41,500",2/14/2023
45,"Carrier 2 Ton 5 Star AI Flexicool Inverter Split AC (Copper, Convertible 6-in-1 Cooling,Dual Filtration with HD & PM 2.5 F...",appliances,Air Conditioners,https://m.media-amazon.com/images/I/61JtwWcAcoL._AC_UL320_.jpg,https://www.amazon.in/Carrier-Flexicool-Convertible-Filtration-CAI24ES5R33F0/dp/B0BR58NG48/ref=sr_1_52?qid=1679134239&s=kitchen&sr=1-52,3.9,69,"₹52,990","₹91,690",2/15/2023
46,"Blue Star 1 Ton 3 Star Convertible 4 in 1 Cooling Inverter Split AC (Copper, Multi Sensors, Stabalizer Free Operation, Dus...",appliances,Air Conditioners,https://m.media-amazon.com/images/I/51FETwYY9SL._AC_UL320_.jpg,https://www.amazon.in/Blue-Star-Convertible-Stabalizer-IA312YNU/dp/B0BQW6V8RZ/ref=sr_1_53?qid=1679134239&s=kitchen&sr=1-53,3.9,202,"₹32,690","₹51,500",2/16/2023
47,"Cruise 1.5 Ton 3 Star Inverter Split AC with 7-Stage Air Filtration (100% Copper, Convertible 4-in-1, PM 2.5 Filter, 2022 ...",appliances,Air Conditioners,https://m.media-amazon.com/images/I/41wle1II8xL._AC_UL320_.jpg,https://www.amazon.in/Cruise-Inverter-Filtration-CWCVBG-VQ1W183-Dehumidifier/dp/B094752MJ5/ref=sr_1_54?qid=1679134239&s=kitchen&sr=1-54,4.3,23,,"₹52,900",2/17/2023
48,"AmazonBasics 1.5 Ton 5 Star Inverter Split AC (White, Air Purifier, Copper)",appliances,Air Conditioners,https://m.media-amazon.com/images/I/71Gij6Cos4L._AC_UL320_.jpg,https://www.amazon.in/AmazonBasics-Star-Inverter-Conditioner-LEEL/dp/B07L44L1GP/ref=sr_1_52?qid=1679134240&s=kitchen&sr=1-52,3.7,"1,195",,"₹56,990",2/18/2023
49,"Voltas 1 Ton 3 Star, Inverter Split AC(Copper, 4-in-1 Adjustable Mode, Anti-dust Filter, 2023 Model, 123V Vectra Elegant, ...",appliances,Air Conditioners,https://m.media-amazon.com/images/I/41LlSc9YsnL._AC_UL320_.jpg,https://www.amazon.in/Voltas-Adjustable-123V-Vectra-Elegant/dp/B0BQR2491B/ref=sr_1_53?qid=1679134240&s=kitchen&sr=1-53,2.9,5,"₹29,950","₹56,990",2/19/2023
50,"Samsung 1 Ton 5 Star Inverter Split AC (Copper, Convertible 5-in-1 Cooling Mode, Anti-bacterial Filter, 2023 Model AR12CY5...",appliances,Air Conditioners,https://m.media-amazon.com/images/I/51nHL0am-TL._AC_UL320_.jpg,https://www.amazon.in/Samsung-Inverter-Convertible-Anti-bacterial-AR12CY5ZAGD/dp/B0BSGSCNV9/ref=sr_1_54?qid=1679134240&s=kitchen&sr=1-54,,,"₹36,999","₹57,990",2/20/2023
51,"Carrier 2 Ton 3 Star AI Flexicool Inverter Split AC (Copper, Convertible 4-in-1 Cooling,Dual Filtration with HD & PM 2.5 F...",appliances,Air Conditioners,https://m.media-amazon.com/images/I/41lrtqXPiWL._AC_UL320_.jpg,https://www.amazon.in/Carrier-Inverter-Split-Copper-Flexicool/dp/B0B67S3TXP/ref=sr_1_55?qid=1679134240&s=kitchen&sr=1-55,4,66,"₹48,990","₹80,890",2/21/2023
52,"Lloyd 1.5 Ton 5 Star Fixed Speed Window Ac (Copper, 2023 Model, White With Silver Deco Strip, Glw18C5Xwgmr)",appliances,Air Conditioners,https://m.media-amazon.com/images/I/71wnwaJKh9L._AC_UL320_.jpg,https://www.amazon.in/Lloyd-Window-Copper-Silver-GLW18C5XWGMR/dp/B0BRKYDWS5/ref=sr_1_56?qid=1679134240&s=kitchen&sr=1-56,4.2,474,"₹32,999",,2/22/2023
53,"Lloyd 1.0 Ton 3 Star Fixed Speed Window AC (Copper, 2023 Model, White with Silver Deco Strip, GLW12C3XWSEW)",appliances,Air Conditioners,https://m.media-amazon.com/images/I/81qXJbtSA6L._AC_UL320_.jpg,https://www.amazon.in/Lloyd-Window-Copper-Silver-GLW12C3XWSEW/dp/B0BRKXV3MR/ref=sr_1_57?qid=1679134240&s=kitchen&sr=1-57,4,502,"₹25,690",,2/23/2023
54,Panasonic 1 Ton 3 Star Wi-Fi Inverter Split Air Conditioner (White),appliances,Air Conditioners,https://m.media-amazon.com/images/I/51oqlNHOBaL._AC_UL320_.jpg,https://www.amazon.in/Panasonic-Conditioner-Convertible-Anti-Corrosion-CU-SU12XKYWA/dp/B09R3T1QLW/ref=sr_1_58?qid=1679134240&s=kitchen&sr=1-58,4.2,686,"₹32,490",,2/24/2023
55,"Whirlpool 1.0 Ton 5 Star, Flexicool Inverter Split AC (Copper, Convertible 4-in-1 Cooling Mode, HD Filter 2023 Model, S3I1...",appliances,Air Conditioners,https://m.media-amazon.com/images/I/51xzmzjFS7L._AC_UL320_.jpg,https://www.amazon.in/Whirlpool-Flexicool-Inverter-Convertible-Cooling/dp/B0BR5SZ922/ref=sr_1_59?qid=1679134240&s=kitchen&sr=1-59,4,"1,183","₹34,490",,2/25/2023
56,"Samsung 1.5 Ton 3 Star Wind-Free Technology Inverter Split AC (Copper, Convertible 5-in-1 Cooling Mode, Anti-bacterial Fil...",appliances,Air Conditioners,https://m.media-amazon.com/images/I/71Dg20TjSpL._AC_UL320_.jpg,https://www.amazon.in/Samsung-Technology-Convertible-Anti-bacterial-AR18CYLAMWK/dp/B0BRQDGFL8/ref=sr_1_60?qid=1679134240&s=kitchen&sr=1-60,4,56,"₹37,699","₹61,990",2/26/2023
57,"Haier 1.5 Ton 3 Star Frost Self Clean Inverter Split AC(100% Grooved copper, Super Anti-corrosion, 2023 Model, HSU17V-TMS3...",appliances,Air Conditioners,https://m.media-amazon.com/images/I/51WirkzK4JL._AC_UL320_.jpg,https://www.amazon.in/Haier-Inverter-Grooved-Anti-corrosion-HSU17V-TMS3BE-INV/dp/B0BSFRD38D/ref=sr_1_61?qid=1679134240&s=kitchen&sr=1-61,,,"₹32,990","₹64,000",2/27/2023
